fid	X2000	Y2000	v_m	ALD_m	Exx	Eyy	Yxy
5	5568827,8	5718760,8	-54,3	-13,9	0,04354	-0,06072	0,07232
17	5568946,8	5718480,6	-9,5	-17,2	0,03412	0,09521	0,07494
20	5567731,5	5717838	-100,8	72,8	-0,04615	-0,19569	0,38358
50	5568213,5	5716755,5	-0,2	-2,5	0,00116	0,06556	0,02089
62	5567680,6	5717111,9	-38,6	8,1	-0,07026	-0,00076	0,10075
92	5568404	5718811,6	-19,9	11,5	0,00931	0,02163	0,07116
93	5568903,8	5716696,1	-12	-16,5	0,0207	0,03533	-0,11148
116	5568075,1	5717542,3	-222,8	-75	-0,36543	-0,16131	-0,29581
138	5568613,6	5717706,1	-27,8	-22,1	0,20321	0,02327	0,0187
148	5567852	5718007,6	-175,4	85	-0,43032	-0,33307	-0,26948
165	5567561,9	5716907,8	-5,7	26,7	0,03292	0,0778	0,20834
176	5569128,5	5718529,6	-21,2	-18,1	-0,02446	0,04813	-0,01846
182	5568753,9	5716883,1	6,6	-11,9	0,00415	-0,01923	0,00515
195	5568621,7	5718057,9	-87,8	-136,7	0,18844	-0,15816	0,01227
240	5568242,2	5716991,2	-35	-39,4	-0,01027	0,08385	-0,03197
251	5569235,9	5717831,3	3,1	-51,1	-0,00162	-0,00158	0,01335
263	5567544,8	5716898,5	-25,4	11,7	0,04405	0,06304	0,1851
282	5568386	5717157,6	-51,3	-43	0,04279	0,17125	-0,08735
291	5568525,5	5717970,9	-123,5	-147,1	0,21921	-0,16988	0,13399
301	5567592,8	5717760,5	-38,9	44,1	0,193	0,07367	0,44483
306	5567438,2	5718106,7	-10,2	26,4	0,12934	-0,09872	0,09794
313	5568044,5	5716725,8	-4,7	3,1	-0,04455	0,0284	-0,06717
341	5569226	5717280	-7,8	-3,6	-0,03546	-0,02429	0,00988
342	5567673,8	5718044,3	-71,3	80,9	0,01573	-0,22334	0,05629
352	5567968,7	5718028,1	-244,2	43,8	-0,62142	-0,36493	-0,29222
355	5567430,3	5718214,7	-22,4	10,1	0,08515	-0,06055	0,01865
369	5567792,8	5718829,7	-1,9	-7,7	-0,09224	0,09144	-0,01583
376	5567539,9	5717415,2	-32,8	15,9	0,03064	-0,04829	0,05838
385	5567969,8	5718062,5	-239,7	33,9	-0,61743	-0,31933	-0,27043
391	5568266,3	5717123,3	-46,5	-30,9	-0,03822	0,18252	-0,11701
395	5568434,9	5716818,1	-10,8	-23,8	0,002	0,01389	-0,03815
400	5567753,1	5717356,9	-53,4	23,9	-0,03336	0,0741	0,33798
408	5568387,5	5717233,2	-36	-61,3	0,04237	0,16076	-0,09774
424	5568257,6	5717523,9	-186,6	-105	-0,15182	-0,13198	-0,43539
427	5568526,1	5718815,5	-17	7,9	-0,00189	-0,00982	0,03189
459	5567564,9	5717248,3	-18,1	27,5	0,00587	0,01788	0,07294
469	5568088,1	5718342,7	-145,9	-10,8	-0,36807	0,07576	-0,03288
473	5568508,3	5718644,9	-44,6	-26,1	0,04307	0,13552	0,0766
474	5568492,5	5718662,3	-31,9	-18,5	0,05069	0,13987	0,07212
492	5567663,3	5717859,5	-56,6	71,1	0,11902	-0,06702	0,39649
501	5568297,8	5717588,3	-202,8	-138,8	-0,08362	-0,18744	-0,37476
504	5568384,5	5716957,3	-14,8	-4,1	0,00216	0,0229	-0,07432
505	5568365,9	5718604,5	-32,4	-0,2	0,00913	0,17548	0,17408
515	5567868,4	5718279,7	-82,6	3,4	-0,32194	-0,02434	-0,24893
552	5568504,6	5717185,1	-17,1	-25,4	0,03573	0,12887	-0,04083
556	5568252,4	5716725,7	-10,3	2,3	-0,00076	0,0767	0,02922
573	5568019,6	5717691,8	-289,7	-28,3	-0,51898	-0,54731	-0,33671
574	5568426,4	5717227,2	-25,9	-27	0,05256	0,13994	-0,08568
576	5567493,2	5718703,8	-13,2	-25	0,00485	-0,00548	-0,07369
582	5568569,6	5716930,5	-15,2	-21,9	0,00727	-0,00502	-0,04883
583	5568976,6	5716727,6	-13,2	-8,6	0,04479	0,08103	-0,09818
591	5567644,1	5718421,9	-10,1	27,3	-0,02754	0,11508	-0,079
595	5569124,6	5718227,7	-19,5	-51,2	0,02965	-0,05925	0,03847
598	5567094,8	5718834,2	7,5	6,9	0,01723	0,05991	0,01049
601	5568019,6	5716775,2	-37,3	-35	-0,0472	0,0378	-0,06984
615	5568472,9	5717408,8	-86,5	-92,5	0,0465	-0,08673	-0,18482
626	5567589	5717927,7	-19,5	76,9	0,19287	0,03606	0,31948
631	5568171,7	5718468,6	-103,1	-26,5	-0,18895	0,2116	0,05047
646	5567567,5	5716773,1	-25,4	4	0,02019	0,1108	0,10632
691	5567044,5	5716801,4	-1,1	-5,7	-0,01025	-0,02621	-0,02959
696	5567500,5	5717762,3	-23,3	29,4	0,13708	0,10482	0,13827
733	5567824,7	5717005,4	-32,6	3,5	-0,11079	0,04945	-0,02416
751	5567708,6	5718372,5	-30,4	52,6	-0,09129	0,09525	-0,11719
770	5567907,3	5718287,3	-122,5	28	-0,36166	0,02184	-0,22789
775	5569001,3	5717495,8	9,5	-12	0,07977	0,00324	-0,01471
776	5567929,6	5717039,2	-38,2	-12,9	-0,06991	0,09707	-0,02241
780	5567311,3	5718764,9	1,9	8	0,02407	-0,00714	-0,05114
803	5569195,3	5718640	-56,5	0,4	-0,05153	0,04029	-0,00564
816	5567895	5716698,8	-13,1	7,2	-0,04482	0,03804	0,00249
828	5567480,4	5716900,6	-8,2	2	0,06632	0,00327	0,11857
845	5568900,7	5717618,4	-32	-57,6	0,11538	0,00342	-0,06582
849	5568593,8	5716945	-16,8	-28,5	0,00662	0,02353	-0,01865
862	5567071,6	5717994,1	-0,8	3,3	-0,00014	-0,04725	-0,09425
866	5568319,3	5717576,3	-215,1	-145,7	-0,06063	-0,15524	-0,35987
874	5568177,5	5717168	-50,5	-38,2	-0,08409	0,29495	-0,0978
890	5568007,6	5717709,4	-263,9	-2	-0,5408	-0,58187	-0,37022
892	5569071,1	5718411,6	-19,2	-8,7	0,0032	0,00524	0,05056
908	5567319,1	5717426,9	11,8	13,7	0,04539	-0,03347	0,12358
925	5568267,9	5717946,6	-232,3	-196,5	-0,10575	-0,31429	0,149
929	5567390,1	5717918,9	-3,3	40,1	0,09662	0,0857	0,06096
936	5568097	5717721,5	-321,1	-77	-0,48471	-0,59449	-0,45967
966	5567621,9	5717410,3	-37,4	40,6	0,06241	-0,05274	0,19425
976	5567506,4	5717917,1	-4,2	43,1	0,21561	0,10648	0,22102
993	5569210,1	5718144,7	2,1	-48,8	8,00E-05	0,00607	-0,02091
1003	5568046,6	5717320,5	-104,6	-16,8	-0,19486	0,41143	-0,03719
1014	5568915,8	5718492,1	-17,8	2,9	0,05188	0,108	0,09123
1020	5568285	5717586,7	-213,6	-138,1	-0,11092	-0,19546	-0,37713
1040	5567355	5717729,8	9,9	22,1	0,02775	0,00433	-0,02543
1048	5568768,3	5718765,8	-54,5	-21	0,03313	-0,06416	0,09088
1053	5567993	5717010,8	-42,1	-14,7	-0,06344	0,08386	-0,00318
1059	5569101,5	5717356,4	-6,1	-13,8	0,03027	0,0564	-0,02193
1070	5568500,3	5717150,3	-14,4	-28,4	0,03303	0,14808	-0,03953
1074	5567121,8	5717974,4	-4,6	5,3	0,02541	-0,04609	-0,08287
1076	5567439,9	5717967,3	-19,7	17,4	0,15994	0,00827	0,15337
1082	5567416,5	5718554	-1,3	8,2	0,06501	0,01881	-0,00739
1084	5567805,2	5717544,6	-128,7	51,9	-0,08198	0,02598	0,53149
1137	5568532,1	5717424,3	-67,3	-84	0,06217	-0,09746	-0,11762
1163	5568571,2	5717957,3	-125	-164,9	0,21542	-0,16164	0,08616
1167	5568918,7	5717369,9	-8,7	-45	0,08381	-0,01182	-0,09351
1173	5568037,9	5717312,1	-88,6	27,7	-0,18	0,4171	0,00655
1179	5567419,1	5716743,2	-8,5	-1,9	0,00139	-0,01833	-0,09112
1185	5568129,9	5717021,1	-49,5	-15,5	-0,04435	0,12403	-0,01674
1189	5567088,1	5717331,3	9,1	5,9	0,01986	0,06845	0,01445
1195	5567249,3	5717581,9	2,1	-3,5	0,03739	-0,01803	0,05327
1196	5567999,4	5718406,5	-105,5	10	-0,30237	0,17571	-0,13402
1211	5568924,2	5717223,1	1,8	-18,4	0,05527	0,01388	-0,08299
1217	5567623,3	5718004,8	-13,1	117	0,11711	-0,1735	0,1257
1229	5567522,5	5717726,3	-18,8	29,5	0,17194	0,05287	0,22006
1239	5569231,5	5717152,1	-9,5	-5,6	-0,02359	-0,13363	0,0259
1240	5567082,1	5718872,4	9,8	10,8	0,00494	0,02001	0,00929
1248	5568861,2	5717224,8	7,3	-28,9	0,03826	0,03137	-0,07582
1284	5568526,8	5718300,3	-89,9	-92,4	0,13124	-0,07261	0,12673
1287	5567799,3	5718396,6	-35,4	27	-0,20907	0,12894	-0,1556
1290	5567538	5716934	-19,5	12,7	0,04629	0,05086	0,20225
1294	5568968,6	5718778,5	-41,7	-18,3	0,04972	-0,011	-0,00629
1299	5568837,2	5718838,6	-38,3	-15,1	0,02982	-0,07535	0,07474
1303	5569259,9	5717633	-9,1	-51,7	0,00674	-0,01657	0,00634
1307	5568941,2	5717657,7	-27,6	-60,6	0,11115	0,01043	-0,05508
1318	5567709,8	5718036,9	-75,8	91,2	-0,05664	-0,2658	-0,00198
1321	5568167,8	5718171,3	-253,8	-79,6	-0,37655	-0,26584	0,09049
1322	5568837,9	5717353,5	-8,8	-41	0,07915	-0,0106	-0,10202
1334	5567130,4	5717135,8	2,4	4,8	0,00586	0,0303	-0,03756
1352	5568468,8	5718653,3	-26,1	-16,8	0,0531	0,16595	0,09254
1361	5567714,7	5716927,7	-20,3	7,5	-0,05652	0,09532	0,11278
1385	5568187,3	5717542,1	-228,4	-124,4	-0,25975	-0,21153	-0,46458
1394	5567756,3	5718353,1	-32,9	40,6	-0,17305	0,0948	-0,1457
1408	5568432,9	5717451,6	-125,5	-101	0,04355	-0,0804	-0,23973
1410	5568380,1	5718611,3	-26,1	-4,4	0,02467	0,17431	0,16714
1416	5569272,9	5718818,1	-52,6	-7,4	-0,06497	0,10324	0,08511
1428	5567986,6	5717307,2	-87	3,4	-0,16236	0,38253	0,08536
1449	5569265	5718663,4	-36,1	-8,7	-0,04392	0,03834	-0,01469
1478	5567229,2	5717560,7	12	23,1	0,04683	-0,01087	0,05236
1484	5568972,1	5717494,5	-15,1	-41,1	0,09572	-0,00811	-0,03029
1556	5567983,5	5717559,3	-219,7	-10,5	-0,3736	-0,10847	-0,05089
1558	5568511,8	5716911,7	-8,1	-31,1	0,00647	-0,00728	-0,08677
1559	5567966,6	5717005,1	-34,7	-9,5	-0,06066	0,08673	-0,01104
1576	5568204,2	5717202,1	-54,4	-55,3	-0,08255	0,31008	-0,12832
1578	5568428,3	5718564,2	-54,3	-48,8	0,03991	0,18038	0,13016
1579	5567419,9	5718436,3	1	32,6	0,07006	0,0448	0,00013
1602	5568575,4	5718699,7	-10,2	16,8	0,02041	0,074	0,08546
1605	5568853,8	5717375,1	-1,9	-37,5	0,08852	-0,0298	-0,09982
1612	5568696,4	5716918	-8,7	-18,4	-0,00793	0,00581	0,01632
1622	5568901,1	5717578,5	-13,5	-48,8	0,11846	-0,01645	-0,0457
1631	5568760,1	5717649,1	-40,5	-53,1	0,09091	0,05297	-0,06824
1632	5568052,6	5717560,6	-225,7	-30,9	-0,38879	-0,21966	-0,28548
1637	5568150,8	5718149	-225,9	-55,3	-0,39757	-0,27045	0,03946
1643	5567329,9	5718097,5	-12,3	1,7	0,11489	0,00541	0,07422
1662	5567281,1	5716874,2	8,6	-7,8	0,03306	-0,08816	-0,04527
1685	5568466,8	5716906,2	-24,2	-18,4	0,00794	0,00374	-0,08795
1695	5568446	5718091,4	-143,4	-152,9	0,17903	-0,19234	0,18392
1708	5568102,4	5718195,6	-244,3	-48,1	-0,4552	-0,21273	-0,00926
1711	5567423,8	5717729,9	-29,3	12,9	0,03824	0,01509	-0,03676
1719	5567452,8	5716898,3	-16	9,1	0,06226	-0,01574	0,07137
1726	5567872,5	5717544,8	-155,4	25,6	-0,19663	0,00565	0,35395
1744	5568493	5718008,8	-109,7	-130,1	0,22444	-0,18275	0,17865
1751	5568909,8	5718859,2	-22	-10,2	0,02412	-0,06994	0,04995
1752	5568548,9	5718676,4	-4,8	-4,7	0,03159	0,10326	0,07426
1760	5567055,7	5717316,2	14,2	0,3	0,01477	0,06486	0,00518
1773	5567430,9	5718241,6	-5,2	16,5	0,07091	-0,0391	-0,00192
1824	5567852	5718757,2	-5,1	-3,7	-0,15965	0,09866	-0,0449
1845	5568355,8	5718800,9	-40,6	-13,8	0,01348	0,04531	0,11368
1847	5568405,1	5717729	-142,3	-123,3	0,17835	-0,10479	0,05193
1875	5568564,6	5717796,3	-110,3	-111,2	0,19771	-0,04845	0,08881
1883	5567269,3	5717084,5	-0,1	10,5	0,05208	0,03965	0,03029
1889	5567080,5	5718507,6	-4,7	11,7	0,02081	-0,06386	-0,0261
1892	5567375,8	5717589,6	-9,5	21,5	0,00907	-0,1157	-0,00545
1897	5568424,1	5718270	-128,1	-110,3	0,10845	-0,14857	0,20656
1898	5568710,3	5718707	-46,2	1,4	0,04691	0,01929	0,11039
1911	5567997,5	5718572,8	-59	34,5	-0,20732	0,21197	-0,11812
1923	5568381	5718279,4	-120,2	-85,5	0,07119	-0,15719	0,22608
1926	5568999,3	5718465,4	-8,9	-5,3	0,00698	0,07776	0,06614
1945	5568734,2	5717535,7	-45,5	-95,6	0,10935	-0,00282	-0,01117
1950	5567436,6	5716723	-0,7	-5,2	-0,00928	0,00721	-0,09839
1980	5567738,7	5718889,8	29,1	40,6	-0,05791	0,08629	0,00564
2020	5567439,9	5717562,6	-43,4	31	0,03133	-0,18762	-0,01754
2030	5569140,7	5717049,7	20,2	11,6	0,05635	-0,08595	0,0457
2037	5568029,1	5717002,2	-30,9	-6,5	-0,04955	0,078	0,00573
2070	5568216,1	5717718,6	-308,2	-69,7	-0,20894	-0,45061	-0,35019
2080	5567516,5	5716897,7	-9	8,4	0,04989	0,04199	0,16475
2081	5567064,3	5717880,4	7,8	17,7	0,01743	-0,04816	-0,0753
2091	5569163,2	5717452,6	39,2	32,2	0,01499	0,07031	-0,00513
2094	5569133,6	5717795,3	25,4	3,4	0,04219	0,01579	0,02505
2116	5567048,5	5718513,5	5,8	16,3	0,00665	-0,06688	-0,02528
2123	5567462,3	5718554,9	-3,1	35,2	0,04369	0,0229	-0,0411
2133	5568407,6	5717137,1	-42,4	-40,5	0,04067	0,1615	-0,08295
2136	5567694,4	5718012,3	-77,7	65,8	-0,01441	-0,22868	0,0781
2137	5567756,5	5717820,7	-103,1	81,1	-0,12485	-0,24123	0,32538
2140	5567896,2	5716713	-8,2	15	-0,05242	0,04044	-0,01336
2208	5567186,9	5717169,4	-0,2	8,3	0,01549	0,069	0,02666
2209	5569112	5718324,1	-1,1	-3	0,00023	-0,05441	0,04653
2250	5568136,8	5718372,7	-130,3	-20,4	-0,28904	0,08335	0,01857
2256	5567355,6	5717886	-25,5	0,4	0,06274	0,03482	0,00171
2258	5568313	5716693,6	20,5	9,8	0,00374	0,09105	0,03325
2267	5568888,3	5718880,3	-44,4	0,4	0,02255	-0,06914	0,05687
2277	5568887,9	5717651,3	-36,6	-67,5	0,10461	0,01034	-0,07335
2305	5567926,7	5717284,1	-89,5	2,2	-0,1093	0,29757	0,19275
2312	5567907,1	5717556,1	-176,9	25,6	-0,28991	-0,06222	0,21085
2327	5567929,3	5716823,4	-7,7	5,1	-0,07119	0,04467	-0,07846
2328	5567171,2	5717868,1	-4,7	5,3	0,04722	-0,05094	-0,06859
2333	5567082,8	5718850,1	6,7	4,5	0,00875	0,03956	0,01134
2340	5567533,2	5718542	-12,1	5,6	0,01586	0,02123	-0,05105
2342	5568718,2	5718142	-55,1	-84,5	0,15819	-0,11021	0,00118
2373	5567152,1	5717562,8	5,3	7,5	0,04575	0,02407	0,0029
2379	5568622,5	5717370,9	-49	-66,8	0,05387	-0,06228	-0,05964
2383	5567789,4	5717315,6	-60,8	4	-0,04841	0,1097	0,3148
2384	5568433,6	5716917	-11,7	-18,6	0,01499	0,00836	-0,08249
2395	5567464,7	5717401,7	-14,6	17,8	0,03067	-0,05698	0,02034
2398	5569051,7	5717519,2	-10,9	-36,3	0,04157	0,00626	0,00946
2409	5569004,6	5718013	-25,8	-47,9	0,12354	-0,01426	0,05344
2415	5567187,3	5717860,6	-1	14,6	0,05171	-0,04397	-0,05519
2419	5567783,4	5718361,8	-66,2	23,4	-0,19916	0,12184	-0,17141
2428	5567923,8	5717800,6	-261,7	66,4	-0,54042	-0,56979	-0,26987
2439	5568333,9	5717051,9	-26,4	-26,2	0,00324	0,07539	-0,10521
2455	5568080,8	5718194,3	-232,1	-19,8	-0,48177	-0,21635	-0,04092
2456	5568006,4	5717319,1	-77,5	-12	-0,17736	0,40141	0,04948
2462	5567324,6	5718782,9	-0,9	6,8	0,01921	-0,00973	-0,05949
