fid	X2000	Y2000	v_m	ALD_m	Exx	Eyy	Yxy
1	5569669,8	5716716,9	-13,5	-10,9	-0,03973	0,14637	-0,01107
2	5568894,5	5719588,6	-44	28	0,01479	-0,08256	-0,03942
3	5574075,9	5714981,8	2,4	51	0,02462	0,16127	0,01837
4	5567360	5715359,3	-1,7	-8,9	0,011	-0,04049	0,00522
5	5568827,8	5718760,8	-54,3	-13,9	0,04354	-0,06072	0,07232
6	5568799,4	5715951	-14,5	42,6	-0,03287	-0,08111	0,04521
7	5568426,5	5715240,3	-21	26,4	0,05434	-0,053	0,08046
8	5573073	5716140,3	-10,5	-19,6	0,0343	-0,01643	-0,01348
9	5573939,4	5719328,9	-13,2	4,9	-0,01134	-0,10213	0,03206
10	5570511,1	5716704,6	-0,9	1,5	0,0212	0,03457	-0,01666
11	5570926,1	5719737	20,6	33,9	0,01511	-0,03704	0,03547
12	5570841,5	5716011,6	3,1	0,4	0,03218	-0,02911	0,0296
13	5570660	5720125,4	6,2	20	-0,02359	-0,05662	0,04223
14	5569214,6	5718972	-53,1	1,7	-0,02915	0,11078	0,1804
15	5574311,7	5718553,9	-10,1	5,9	-0,01826	-0,04531	-0,01996
16	5566567,8	5717580,2	-10,3	3,5	-0,0193	-0,08546	-0,10317
17	5568946,8	5718480,6	-9,5	-17,2	0,03412	0,09521	0,07494
18	5568634,6	5719147,2	-7	27,1	0,02172	-0,02578	0,03748
19	5570461,9	5720347,4	18,5	38,4	0,0134	0,07526	0,00091
20	5567731,5	5717838	-100,8	72,8	-0,04615	-0,19569	0,38358
21	5570064,3	5716673,3	13,4	-33,3	0,03977	0,01773	0,06392
22	5574532,9	5715693,1	-10,7	29,1	-0,03002	-0,01795	-0,02289
23	5573357,1	5720222,8	8,5	6,4	0,02052	0,06191	-0,004
24	5566743,5	5716544,5	26,6	3,8	-0,00497	-0,02443	0,01496
25	5574458,5	5719622,6	-7,9	-7,2	-0,01344	-0,03531	-0,01347
26	5570435,4	5719875,5	22	17,9	0,08647	0,16357	0,08158
27	5574198,7	5717215,6	14,2	-1,8	0,01497	-0,10165	-0,02468
28	5566533,6	5716196,6	16,5	-3,6	0,00903	0,02883	0,04108
29	5570648,6	5718319,9	20,6	18,3	0,00205	0,06452	-0,05016
30	5571303,1	5720366,2	-9,5	8,2	-0,02077	-0,0162	0,00303
31	5571290,8	5715110	11,3	2,9	0,01309	0,043	-0,01717
32	5574212	5715844,8	1,1	23,6	0,02502	-0,0397	0,00517
33	5570140,6	5718463,1	-16	-9,9	0,03184	0,03933	-0,01191
34	5570420	5715607,2	9,3	-24,9	0,07031	-0,06097	0,0514
35	5566642,9	5716927,5	8,9	2,6	-0,00548	0,04111	0,01633
36	5566447,6	5719455,7	12,3	12,3	0,0254	0,01441	-0,0498
37	5569501	5719021,5	-110,2	-47,3	-0,12542	0,08367	-0,14459
38	5567085,8	5719871,8	11,3	7,8	0,03569	0,04588	0,05236
39	5571789,5	5714672,6	-63,3	-49,8	-0,00329	-0,04873	0,00128
40	5569601,7	5718545,4	0	-2,9	0,01366	0,0611	0,02987
41	5568022,8	5716215,4	13,7	8,9	-0,00769	0,02779	-0,03561
42	5571986,9	5719327,3	-35,5	24,4	-0,05884	0,13227	-0,02986
43	5570192,8	5716676,8	5	4,1	0,06335	0,01808	0,03564
44	5574280,6	5718555,6	2,2	16	-0,02193	-0,03904	-0,01774
45	5569418,2	5716185,3	-75,8	-62,3	-0,08446	0,1075	0,13292
46	5568613,7	5720204,1	-14,9	-11,2	0,00698	0,0457	0,01354
47	5569002,5	5719521,1	-53,9	56,3	-0,0216	-0,11501	0,03323
48	5567908,9	5715837,6	17,2	5,6	-0,00068	0,11238	0,01179
49	5569969,2	5717163,3	-5,1	-6,9	0,03255	0,08509	0,07082
50	5568213,5	5716755,5	-0,2	-2,5	0,00116	0,06556	0,02089
51	5572691,8	5720281,3	-3,5	-3	0,07075	-0,00796	0,03542
52	5570541,7	5716274,2	14,2	-17,8	0,01244	0,04081	-0,0229
53	5570960	5716574,2	-14,6	23,5	0,05498	0,0387	0,05837
54	5573565,3	5720313,1	-29,2	-6,6	-0,00266	-0,01459	-0,05843
55	5571703,1	5718757,7	-63,8	91,2	0,01118	0,03017	0,06794
56	5573692,4	5718987,4	1,9	1,6	-0,01603	-0,01681	-0,04389
57	5567857,3	5716543,4	-1,3	25	0,00136	-0,01694	0,06924
58	5570641,5	5715715,1	1,8	-1,9	0,00394	-0,00935	-0,04314
59	5566155,8	5719667,5	-1,9	-0,9	-0,03345	-0,0388	0,01825
60	5572376,7	5714739,5	-14,1	5,5	0,00052	0,10359	0,00522
61	5566900,7	5715477	15,9	9,8	0,00792	0,08777	0,02942
62	5567680,6	5717111,9	-38,6	8,1	-0,07026	-0,00076	0,10075
63	5569389,2	5715587,2	-184,8	-104	-0,13207	-0,22431	-0,18841
64	5566130,1	5717812,8	9,8	4,3	-8,00E-05	-0,01589	0,00876
65	5572127,5	5719695,4	-5,7	11,8	-0,04116	0,04288	0,05498
66	5574676,6	5716055,8	-1	14,2	-0,0156	0,03845	0,04655
67	5570444,6	5714911	10,9	5,8	0,0029	-0,02043	-0,04681
68	5569077,1	5719854	-25,5	39,5	-0,02387	0,05502	-0,05408
69	5570326,4	5715280,3	4,7	-11,1	0,05541	0,04929	-0,00026
70	5571036,6	5715944,1	0,6	9,1	0,0522	0,00443	-0,01055
71	5566280,6	5716455,2	14,9	-1,8	0,02046	-0,00588	0,03907
72	5574306,3	5717458,1	-2,4	-12	0,01793	0,01027	0,00629
73	5574698,5	5716652,7	16	25,3	-0,00062	-0,01051	0,03057
74	5566618,5	5717087,2	3,4	1	0,00392	-0,03482	-0,03582
75	5568451,9	5716226,6	3,5	14,8	0,01725	0,01787	0,00833
76	5569863	5719217,5	-85,9	-69,1	0,04228	0,00024	-0,07294
77	5567388,6	5719967,1	2,3	19,2	0,00217	-0,04488	-0,03491
78	5568218,4	5719293,6	-5,6	-19,3	-0,03247	0,04888	0,02413
79	5568480,8	5715096,1	-9	12,2	0,06216	0,0275	0,06708
80	5574171,3	5718703,6	-14,6	38,6	-0,01599	0,04954	-0,01316
81	5569101,7	5719356,5	-91	30,4	-0,08285	-0,12441	0,1628
82	5570547,8	5718365,6	19,7	15,2	0,01289	0,07823	-0,02542
83	5570374,3	5714740	20,6	10	-0,00858	0,07299	-0,02909
84	5572338,1	5718097,1	-56,6	-2,4	-0,128	0,11439	-0,216
85	5573687,6	5720302,3	-0,5	7	-0,0101	-0,01962	0,03198
86	5572358,8	5716429,9	-7,8	-7,5	0,03147	-0,0039	-0,02242
88	5566531,4	5719065,9	12,7	7,6	0,01783	0,04686	0,01125
89	5570475	5719655,8	15	30	0,09269	0,03589	1,17E-01
91	5568835	5719414	-26,7	48,2	0,04596	-0,01403	0,04622
92	5568404	5718811,6	-19,9	11,5	0,00931	0,02163	0,07116
93	5568903,8	5716696,1	-12	-16,5	0,0207	0,03533	-0,11148
94	5570246,8	5715609,2	-2,2	-19,2	0,04765	-0,05548	-0,02465
95	5569386,4	5717617,6	19,1	-19,9	0,03478	0,01028	-0,03564
96	5571052,8	5720265,1	-2,2	14,9	-0,02421	-0,11357	-0,03018
97	5566339,5	5719464,9	7,2	-0,9	0,01038	0,01841	-0,02527
98	5566508	5715265,7	-29,4	-32	-0,0045	-0,0328	-0,03014
99	5566882,7	5714930	13,1	7,6	-0,01258	-0,03343	0,03219
100	5572602,9	5717791,9	-7,5	-8,4	0,0052	0,03112	-0,08504
101	5571099,6	5719840,8	22,2	21,9	-0,00148	0,05357	0,03462
102	5574265,3	5718231,1	12,8	19,5	0,03888	0,01517	0,01874
103	5573353,7	5718530,6	10,6	11,7	0,06609	-0,00072	-0,05206
104	5573071,6	5715406,8	4,6	5,9	-0,0057	0,01982	0,0143
105	5567250,5	5719284,2	2,7	4,9	-0,00622	0,01565	-0,03539
107	5572074,1	5716221,9	-20,5	-1,2	-0,05578	0,06677	-0,02737
108	5573218,5	5719709,3	-2,2	-3,5	-0,03678	-0,07622	0,00721
109	5571415,5	5719804,3	11,3	32	0,00112	0,06973	-0,00737
